numeroParcela;valorParcela;dataVencimentoParcela;origem_arquivo
1;100000;2020-10-20;parcelas_029e154f-69d6-449a-a6b5-77413cd5cea3.csv
1;1575;2020-04-29;parcelas_029f2bf9-de5d-451d-9bee-b1894576eba0.csv
1;20170.08;2019-12-30;parcelas_02ab3109-65bb-44f9-8a0b-18d386c55982.csv
1;20000;2020-01-13;parcelas_02ad45e6-62b3-4209-8f17-6641259f5e9b.csv
1;10010.71;2020-10-19;parcelas_02ba2f75-8eb7-4025-a0df-6589343d89b3.csv
1;17922.78;2020-02-26;parcelas_02bbe759-ccb6-4ce2-b262-6a52af1097b4.csv
1;30000;2020-01-13;parcelas_02be2dc8-0e40-46f8-83ac-bb9232bd9a35.csv
1;42000;2020-05-11;parcelas_02c3c8d7-a387-4092-9361-8b3576197d33.csv
1;1950;2020-05-12;parcelas_02d85704-39cf-4c88-a7f0-70c61b0d60ff.csv
1;2232.24;2020-09-29;parcelas_02d97222-bb0b-4726-aad9-c4bc49f41848.csv
1;366035;2020-02-20;parcelas_02daa831-5736-43a5-aa76-22dd330553c4.csv
1;8130;2020-01-15;parcelas_02dd2eb1-1f82-4912-b538-8383faae8cad.csv
1;150.01;2020-11-09;parcelas_02dfa128-e6a3-4b8d-9e52-fdeeb49b07ef.csv
1;503.33;2020-03-31;parcelas_02e01471-2535-4cfa-b965-ce3dc3b0a2c6.csv
1;136839.93;2020-10-07;parcelas_02e3565e-e08f-42f7-a525-4fab042f38b6.csv
1;0.03;2020-02-26;parcelas_02ecbaeb-483c-4d04-821e-606e166a8b56.csv
1;4600;2020-08-10;parcelas_02f11a10-118b-470d-85c7-7455501a0272.csv
1;785.3;2020-11-04;parcelas_02fca052-02cb-438b-a1f1-6cd88db49f3c.csv
1;8900;2020-04-16;parcelas_02ffb575-4cc3-430a-aae2-97597cc4908c.csv
1;15373.94;2020-07-21;parcelas_02ffcd04-1819-4a87-a0f2-22389e72dbb2.csv
1;15088.85;2020-11-27;parcelas_03020d81-8e3b-41f6-b6ec-ada18bc102b3.csv
1;7525;2020-05-27;parcelas_03042c41-be82-4f20-b2f4-ce5f66779049.csv
1;688.32;2020-03-09;parcelas_0304cc97-9897-4bfe-8054-84605a7b385b.csv
