uuidDespesa;numeroDespesa;descricaoDespesa;dataDespesa;origem_arquivo
despesa_orcamentaria_29_2019_253;253;Centros Comunitarios;2019-01-02;dotacaoOrcamentaria_4dfa7d6c-7a48-419f-8a58-eb7c66207227.csv
despesa_orcamentaria_178_2020_11;11;Manut. do Fundo Municipal de Saude, despesas de pessoal outros p/ manut.;2020-01-02;dotacaoOrcamentaria_4e27f71d-3de4-4e82-afd4-565fe775039f.csv
despesa_orcamentaria_178_2020_73;73;Manut. Consorcio da SaÃºde-CISAMREC;2020-01-02;dotacaoOrcamentaria_4edfdbe9-57fa-41ec-8e35-67680a92fbdf.csv
despesa_orcamentaria_29_2020_308;308;Frota Municipal;2020-01-02;dotacaoOrcamentaria_4f788fc0-a069-4815-8eeb-7150327ed61a.csv
despesa_orcamentaria_29_2020_248;248;Manut. depto de Obras;2020-01-02;dotacaoOrcamentaria_4f87128c-c2e1-4e15-a048-ae3c2f01c3d3.csv
despesa_orcamentaria_29_2020_341;341;Manut. do ConvÃªnio TrÃ¢nsito Policia Civil;2020-10-02;dotacaoOrcamentaria_5067469a-343f-4896-9625-00cd52eca185.csv
despesa_orcamentaria_29_2020_249;249;Manut. depto de Obras;2020-01-02;dotacaoOrcamentaria_50b17b07-7dc8-44ba-9cdc-ae0d53d3b0ff.csv
despesa_orcamentaria_29_2020_145;145;AlfabetizaÃ§Ã£o de Jovens e Adultos;2020-01-02;dotacaoOrcamentaria_50dd05eb-e38e-422f-8439-e5a1c3c4b0a6.csv
despesa_orcamentaria_178_2020_57;57;Manut. da UPA da PrÃ³spera;2020-01-02;dotacaoOrcamentaria_521c084e-d894-4428-9421-594abf07e8e1.csv
despesa_orcamentaria_29_2020_168;168;ConvÃªnios com Entidades Educacionais;2020-01-02;dotacaoOrcamentaria_5244855c-8091-4a83-b865-64efdf6b3332.csv
despesa_orcamentaria_178_2016_13;13;Hospital Santa Catarina / Banco de Olhos;2016-01-02;dotacaoOrcamentaria_529bc576-f824-4ed3-85cf-85aceb731785.csv
despesa_orcamentaria_191_2020_3;3;Manut. da GestÃ£o da Assitencia Social;2020-01-02;dotacaoOrcamentaria_57b837f6-522b-4505-9bf2-236a3db8595d.csv
despesa_orcamentaria_178_2019_40;40;Manut. CEOs;2019-01-02;dotacaoOrcamentaria_582db545-9754-45b7-9669-74bca6e70da3.csv
despesa_orcamentaria_178_2020_101;101;Manut. da Epidemiologia;2020-01-02;dotacaoOrcamentaria_586bb467-ad37-430a-8e66-024e937e0dc5.csv
despesa_orcamentaria_178_2018_5;5;Manut. do Fundo Municipal de Saude, despesas de pessoal outros p/ manut.;2018-01-02;dotacaoOrcamentaria_5944f769-247c-4532-8bfc-a6aa506d03c9.csv
despesa_orcamentaria_29_2019_28;28;Manut. do Conselho Tutelar;2019-01-02;dotacaoOrcamentaria_5b71d68a-a183-4e59-b81b-6c2e8db23db8.csv
despesa_orcamentaria_29_2019_124;124;Manut. do Gabinete da Secretaria de EducaÃ§Ã£o;2019-01-02;dotacaoOrcamentaria_5c219cf4-953a-4399-9352-0b74dcfc4c0c.csv
despesa_orcamentaria_29_2019_250;250;EdificaÃ§Ãµes Publicas;2019-01-02;dotacaoOrcamentaria_5cbcac38-ae68-47fb-a0e3-01e49dffbe31.csv
despesa_orcamentaria_29_2020_246;246;Manut. depto de Obras;2020-01-02;dotacaoOrcamentaria_5d6c1bc8-5a05-4f29-8e6a-30404b6b7041.csv
despesa_orcamentaria_181_2019_1;1;Coleta e tranporte de Residuos SÃ³lidos;2019-01-02;dotacaoOrcamentaria_5ea93199-111f-4380-8e31-40c3981b4de6.csv
