anoRetencao;dataRetencao;valorRetido;origem_arquivo
2019;2019-05-10;6.92;retencoesLiquidacao_034228e6-925b-4b09-a1ad-5247689d9790.csv
2019;2019-05-31;108.26;retencoesLiquidacao_0344886f-260a-4da3-8d11-4eafd7a3f828.csv
2019;2019-05-31;45.1;retencoesLiquidacao_0344886f-260a-4da3-8d11-4eafd7a3f828.csv
2019;2019-05-31;27.06;retencoesLiquidacao_0344886f-260a-4da3-8d11-4eafd7a3f828.csv
2019;2019-04-04;3.18;retencoesLiquidacao_03482f70-8c68-4dfb-ac70-3f7cdb57737f.csv
2019;2019-04-04;1.59;retencoesLiquidacao_03482f70-8c68-4dfb-ac70-3f7cdb57737f.csv
2019;2019-12-30;209.26;retencoesLiquidacao_03533c3b-d0d2-4eb5-8ee8-f850ba2077fb.csv
2019;2019-10-29;1460.78;retencoesLiquidacao_036ab00e-ed84-4bfb-af41-26c4a1497ec1.csv
2019;2019-10-29;418.12;retencoesLiquidacao_036ab00e-ed84-4bfb-af41-26c4a1497ec1.csv
2019;2019-10-29;634.8;retencoesLiquidacao_036ab00e-ed84-4bfb-af41-26c4a1497ec1.csv
2019;2019-10-29;1125.09;retencoesLiquidacao_036ab00e-ed84-4bfb-af41-26c4a1497ec1.csv
2019;2019-10-29;587.94;retencoesLiquidacao_036ab00e-ed84-4bfb-af41-26c4a1497ec1.csv
2019;2019-10-29;270.39;retencoesLiquidacao_036ab00e-ed84-4bfb-af41-26c4a1497ec1.csv
2019;2019-10-29;262.35;retencoesLiquidacao_036ab00e-ed84-4bfb-af41-26c4a1497ec1.csv
2019;2019-08-01;224.98;retencoesLiquidacao_03700ade-6f5e-4121-ae79-7a8f77cbfd2a.csv
2019;2019-08-01;93.74;retencoesLiquidacao_03700ade-6f5e-4121-ae79-7a8f77cbfd2a.csv
2019;2019-08-01;56.25;retencoesLiquidacao_03700ade-6f5e-4121-ae79-7a8f77cbfd2a.csv
2019;2019-07-01;42.21;retencoesLiquidacao_037929ea-049b-4926-a52b-dd8fac61cea2.csv
2019;2019-10-07;31.88;retencoesLiquidacao_038518a5-de69-4fc8-9f2e-036f0edc26de.csv
2019;2019-10-07;13.28;retencoesLiquidacao_038518a5-de69-4fc8-9f2e-036f0edc26de.csv
2019;2019-10-07;7.97;retencoesLiquidacao_038518a5-de69-4fc8-9f2e-036f0edc26de.csv
2019;2019-10-07;23.91;retencoesLiquidacao_038518a5-de69-4fc8-9f2e-036f0edc26de.csv
