idLiquidacao;data;parcela;valor;valorRestosNaoProcessados;anulacoesLiquidacao;retencoesLiquidacao;origem_arquivo
4038;2019-05-29;1;71230;0; ; ;liquidacoes_8fe108ee-2a97-4a4b-a083-015f513f9ca6.csv
4532;2019-10-08;1;79.79;0; ; ;liquidacoes_8fe5f3c9-e1cb-4f8a-850e-ab5f7cfcb61c.csv
717;2019-06-27;1;1996;0; ; ;liquidacoes_8fea5417-0464-4f7e-adea-1adb43b38016.csv
2229;2019-05-28;1;12800;0; ; ;liquidacoes_8ffafa36-d99e-4761-98dd-323b3df5d41a.csv
790;2019-06-27;1;42.12;0; ;retencoesLiquidacao_ed360c28-ed9b-4364-9f58-79a94a623488.csv;liquidacoes_90040e44-58ce-4701-802b-4bf5b09fd08c.csv
1845;2019-04-30;1;1306.01;0; ; ;liquidacoes_90044b04-e39f-42d6-9351-5c20c11a7796.csv
3820;2019-08-14;1;4781;0; ; ;liquidacoes_90097b54-d10c-43df-b4c9-715c0a9525c2.csv
3662;2019-08-27;1;94.76;0; ; ;liquidacoes_9012049b-e5db-4eee-8bb2-e5255a666c73.csv
402;2019-04-25;1;10000;0; ; ;liquidacoes_9031b396-92db-445d-92ea-c6bacbfbf52a.csv
834;2019-07-12;1;2440;0; ; ;liquidacoes_9031d915-360e-4ffc-a041-938841b168a9.csv
4814;2019-10-24;1;79.79;0; ; ;liquidacoes_90347987-ddc7-401c-95b0-9682fb02da62.csv
7896;2019-09-12;1;2979.85;0; ; ;liquidacoes_90378a69-af0f-4d69-a459-705cd448ba49.csv
7277;2019-08-08;1;4146.2;0; ; ;liquidacoes_903d9531-06b9-4ca9-bbae-90eee1fe9ae4.csv
5476;2019-11-29;1;290142.96;0; ; ;liquidacoes_90433797-973e-44b8-8a47-3097ec792f45.csv
3482;2019-08-08;1;79.79;0; ; ;liquidacoes_90481641-6f7b-48b8-9a08-9e5a0916e895.csv
17;2019-01-02;1;8985.11;0; ;retencoesLiquidacao_495ce53d-aeb0-4816-a765-c6b4dd1cfc06.csv;liquidacoes_90491749-c23b-452d-a74c-9097445e72a5.csv
6105;2019-12-30;1;3584.85;0; ;retencoesLiquidacao_63c2d97c-cfc5-4c1f-ae0a-d222b7697505.csv;liquidacoes_904e8dbd-3ca1-4647-82ee-bf6873c3c6d1.csv
1261;2019-02-28;1;1782;0; ; ;liquidacoes_904fc333-5617-4121-9be9-0a6f900f4ba8.csv
5422;2019-11-25;1;37199.42;0; ;retencoesLiquidacao_edb321c5-5008-4e35-a92e-4fc06de8af5f.csv;liquidacoes_90507101-45fe-405c-9b22-c62d4ad5c9c3.csv
5703;2019-07-11;1;32.27;0; ; ;liquidacoes_905104d7-200f-49fa-a42c-6fd4c4244fbb.csv
9023;2019-10-15;1;129;0; ; ;liquidacoes_905153d8-4011-4536-b806-50c3c2b23515.csv
8053;2019-09-13;1;79.79;0; ; ;liquidacoes_905482b4-7ef0-4d18-b3da-3cc797de6059.csv
916;2019-07-26;1;2255.7;0; ; ;liquidacoes_9059e32a-ea52-408c-b203-d34f432c3f17.csv
