descricao;idItem;numero;quantidade;situacao;unidadeMedida;valorTotal;valorUnitario;origem_arquivo
LEITE SEMI DESNATADO ZERO LACTOSE - NA CENTRAL;1310883;2;3720;ATIVO;LITROS;12052.8;3.24;itens_c17b1458-6592-4732-873b-c9aaeca109f9.csv
TermÃ´metro clÃ­nico;1265313;248;150;ATIVO;UNIDADE;1485.0;9.9;itens_c2189ec4-602f-412b-9af0-f785046cdffe.csv
PinÃ§a anatÃ´mica Adson com serrilha 12cm;1265315;234;30;ATIVO;UNIDADE;309.0;10.3;itens_c2189ec4-602f-412b-9af0-f785046cdffe.csv
Tesoura Mayo Stille reta 15 cm;1265324;241;30;ATIVO;UNIDADE;777.0;25.9;itens_c2189ec4-602f-412b-9af0-f785046cdffe.csv
Agulhas hipodÃ©rmicas 25 X 8;1265372;8;250;ATIVO;CAIXA;1250.0;5.0;itens_c2189ec4-602f-412b-9af0-f785046cdffe.csv
Cateter Intravenoso nÂ°14 G;1265373;42;1000;ATIVO;UNIDADE;1470.0;1.47;itens_c2189ec4-602f-412b-9af0-f785046cdffe.csv
Cateter Intravenoso nÂ°16 G;1265374;43;2000;ATIVO;UNIDADE;2840.0;1.42;itens_c2189ec4-602f-412b-9af0-f785046cdffe.csv
Cateter Intravenoso nÂ°18 G;1265375;44;2000;ATIVO;UNIDADE;2840.0;1.42;itens_c2189ec4-602f-412b-9af0-f785046cdffe.csv
Cateter Intravenoso nÂ°20 G;1265376;45;3500;ATIVO;UNIDADE;4935.0;1.41;itens_c2189ec4-602f-412b-9af0-f785046cdffe.csv
Cateter Intravenoso nÂ°22 G;1265377;46;1500;ATIVO;UNIDADE;2130.0;1.42;itens_c2189ec4-602f-412b-9af0-f785046cdffe.csv
Cateter Intravenoso nÂ°24 G;1265378;47;1000;ATIVO;UNIDADE;1490.0;1.49;itens_c2189ec4-602f-412b-9af0-f785046cdffe.csv
Cateter para oxigÃªnio tipo Ã³culos nÂº 12;1265379;48;500;ATIVO;UNIDADE;380.0;0.76;itens_c2189ec4-602f-412b-9af0-f785046cdffe.csv
Compressa de gaze HidrÃ³fila 7,5 X 7,5 com 9 fios;1265380;57;1200;ATIVO;PACOTE;14880.0;12.4;itens_c2189ec4-602f-412b-9af0-f785046cdffe.csv
Envelopes auto selantes 250mmx350mm;1265381;75;200;ATIVO;CAIXA;13904.0;69.52;itens_c2189ec4-602f-412b-9af0-f785046cdffe.csv
